hogar,rol,horizonte_min,estrategia,rmse,mae,mape,r2,n
10,train,60,baseline_persistencia,907.9442952700704,395.7707259177248,69.15160691149688,-0.7180246771923038,133406
10,train,60,baseline_media_hora_dia,719.9274005427761,498.76755414042094,121.76484317505928,-0.0792924132246111,133813
10,train,1440,baseline_persistencia,928.7430256251469,421.1372737776248,82.21241769469417,-0.7608197228134643,124933
10,train,1440,baseline_media_hora_dia,720.7621529127922,498.9416780003163,121.62419945531744,-0.0811278264574941,132433
11,train,15,baseline_persistencia,471.9437570235984,236.72991649275133,50.82004598243166,0.5679606428177282,89656
11,train,15,baseline_media_hora_dia,583.2905807240385,339.12321647952865,60.9263003801985,0.33989514760002,89699
11,train,60,baseline_persistencia,563.5826739236483,317.6575492349752,67.79675555875363,0.384390580280498,89521
11,train,60,baseline_media_hora_dia,583.4356432959238,339.26748023029467,60.93299128711617,0.3397307408945443,89654
11,train,1440,baseline_persistencia,660.9936739324537,377.54113366181286,80.95203357653133,0.1581935798812999,85381
11,train,1440,baseline_media_hora_dia,585.2358887772571,340.1931750226058,61.152199948191935,0.3386242427499284,88274
12,train,15,baseline_persistencia,646.2920635739144,220.9255181821056,49.48297504165474,-0.4435083544413658,110694
12,train,15,baseline_media_hora_dia,517.8959451991776,257.09961951053646,79.045670732178,0.0726232991879172,110754
12,train,60,baseline_persistencia,711.1971280487542,280.77430239824827,73.86295979836103,-0.7533120715075026,110514
12,train,60,baseline_media_hora_dia,517.8959451991776,257.09961951053646,79.045670732178,0.0726232991879172,110754
12,train,1440,baseline_persistencia,725.2357335265101,290.85100846753147,82.92838101520107,-0.8637438481899395,104994
12,train,1440,baseline_media_hora_dia,516.4654589814756,256.620540630994,79.10614217179189,0.0725081637977407,109477
15,train,15,baseline_persistencia,299.3139457073884,65.2998339423201,21.061598156517583,-0.1753202707121055,128433
15,train,15,baseline_media_hora_dia,284.73053550156175,130.54487997710785,61.949996876586496,-0.0641693264686458,128508
15,train,60,baseline_persistencia,373.3963925677714,92.16386056716836,30.05861766738685,-0.8289703469468885,128163
15,train,60,baseline_media_hora_dia,284.74468734909084,130.5064324967669,61.914949211590944,-0.0639202936010747,128463
15,train,1440,baseline_persistencia,391.1624113603152,107.58840162852948,43.654504005240106,-0.9624922585067964,119883
15,train,1440,baseline_media_hora_dia,283.3844179598874,130.4153244961729,62.13430189845679,-0.0663964743694167,127083
16,train,15,baseline_persistencia,489.1573066224536,168.58385218547068,39.674901615203815,-0.2797197596263512,121561
16,train,15,baseline_media_hora_dia,516.777581383128,389.7412048683456,154.3239578230601,-0.4293008278256487,121651
16,train,60,baseline_persistencia,555.3234654302985,209.64738250075857,51.98326915849441,-0.6608112265967803,121284
16,train,60,baseline_media_hora_dia,516.2474181225274,389.5542011393191,154.34617464731704,-0.4322810047188088,121606
16,train,1440,baseline_persistencia,570.4345938870133,228.91807733989947,62.5550472733466,-0.7626285781531057,113004
16,train,1440,baseline_media_hora_dia,516.8574398304024,390.7849564389462,155.40486338473394,-0.4438616192914257,120226
17,train,15,baseline_persistencia,1081.426112311218,307.8919183556914,78.6545277692862,-0.6791270766389834,100098
17,train,15,baseline_media_hora_dia,811.7134776877754,306.1199578140317,98.73325875792004,0.0545258593632208,100188
17,train,60,baseline_persistencia,1126.8164940399863,346.6052602898389,93.65949231315447,-0.8551596768022895,99783
17,train,60,baseline_media_hora_dia,811.8822147569191,306.1772791588692,98.73459897822148,0.0545403042817377,100143
17,train,1440,baseline_persistencia,1139.0143450162352,361.8268089442509,102.80845181867898,-0.8966341274973839,91302
17,train,1440,baseline_media_hora_dia,813.4856148041862,305.705778918984,99.08852776997482,0.0525554156105319,98763
18,train,15,baseline_persistencia,565.7099986730681,277.6172656451509,63.593282550320005,-0.4168791635661972,103351
